"ReachName","Assessment.Unit","Basin","Confinement_Score","Spring.Chinook.Reach","Steelhead.Reach","SPCHN Number of Life Stages","SH Number of Life Stages","SPCHNTier_Restoration","SPCHNTier_Protection","STLTier_Restoration","STLTier_Protection","HQ_Pct","HQ_Score_Restoration","HQ_Score_Protection","BankStability_score","ChannelStability_score","Stability_Mean","CoarseSubstrate_score","Cover-Wood_score","Flow-SummerBaseFlow_score","FloodplainConnectivity_score","Off-Channel/Side-Channels_score","PoolQuantity&Quality_score","Riparian-Disturbance_score","Riparian-CanopyCover_score","Riparian_Mean","Temperature-Rearing_score"
"Kloochman Creek 01","Tillicum Creek","Entiat",1,"no","yes","0","3","3","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Lake Creek Entiat 01","Entiat River-Lake Creek","Entiat",1,"no","no","0","0","1","1","2","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Lake Creek Methow 01","Lake Creek (Methow)","Methow",5,"yes","yes","6","5","2","2","2","3",0.577777777777778,5,1,3,1,2,5,1,3,3,"1",3,3,3,3,5
"Lake Creek Methow 02","Lake Creek (Methow)","Methow",5,"yes","yes","6","4","2","2","2","3",0.533333333333333,5,1,3,1,2,3,1,3,3,"3",3,1,1,1,5
"Lake Creek Methow 03","Lake Creek (Methow)","Methow",5,"yes","yes","4","4","2","2","2","3",NA,NA,NA,NA,NA,NA,5,3,5,NA,"1",5,NA,NA,NA,5
"Lake Creek Methow 04","Lake Creek (Methow)","Methow",5,"yes","yes","4","4","2","2","2","3",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Lake Creek Methow 05","Lake Creek (Methow)","Methow",1,"yes","yes","4","4","2","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Lake Creek Methow 06","Lake Creek (Methow)","Methow",5,"yes","yes","4","4","2","2","2","3",NA,NA,NA,NA,NA,NA,3,5,5,NA,"NA",5,NA,NA,NA,5
"Lake Wenatchee 01","Lake Wenatchee","Wenatchee",1,"yes","yes","7","7","Not a Priority","Not a Priority","2","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,5,NA,5,1
"Larsen Creek 01","Lower Peshastin Creek","Wenatchee",5,"yes","yes","4","4","2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,1
"Leland Creek 01","Upper Icicle Creek","Wenatchee",5,"yes","yes","1","2","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Leland Creek 02","Upper Icicle Creek","Wenatchee",5,"yes","yes","1","2","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Leland Creek 03","Upper Icicle Creek","Wenatchee",5,"yes","yes","1","2","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Leland Creek 04","Upper Icicle Creek","Wenatchee",5,"yes","yes","1","2","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Libby Creek 01","Libby Creek","Methow",5,"yes","yes","5","5","3","3","2","2",NA,NA,NA,NA,1,1,3,5,5,NA,"NA",3,3,1,2,5
"Libby Creek 02","Libby Creek","Methow",1,"yes","yes","5","5","3","3","2","2",NA,NA,NA,NA,NA,NA,3,5,5,NA,"NA",3,5,1,3,5
"Libby Creek 03","Libby Creek","Methow",5,"yes","yes","4","5","3","3","2","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Libby Creek 04","Libby Creek","Methow",5,"yes","yes","4","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,NA,NA,5
"Libby Creek 05","Libby Creek","Methow",1,"yes","yes","4","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"1",5,NA,NA,NA,5
"Libby Creek 06","Libby Creek","Methow",1,"yes","yes","4","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,NA,NA,5
"Libby Creek 07","Libby Creek","Methow",1,"yes","yes","3","2","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,NA,NA,5
"Libby Creek North Fork 01","Libby Creek","Methow",1,"yes","yes","1","2","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Libby Creek North Fork 02","Libby Creek","Methow",1,"yes","no","1","0","3","3","2","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Libby Creek South Fork 01","Libby Creek","Methow",1,"no","no","0","0","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Libby Creek South Fork 02","Libby Creek","Methow",1,"no","no","0","0","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Little Boulder Creek 01","Methow River-Fawn Creek","Methow",5,"yes","yes","3","6","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,3,3,5
"Little Bridge Creek 01","Little Bridge Creek","Methow",5,"yes","yes","4","5","3","3","2","2",NA,NA,NA,3,3,3,3,3,5,3,"3",3,1,3,2,NA
"Little Bridge Creek 02","Little Bridge Creek","Methow",5,"yes","yes","3","5","3","3","2","2",0.666666666666667,5,1,3,3,3,3,3,5,3,"3",3,1,3,2,5
"Little Bridge Creek 03","Little Bridge Creek","Methow",5,"yes","yes","3","5","3","3","2","2",0.622222222222222,5,1,3,3,3,3,1,5,3,"3",3,1,3,2,5
"Little Bridge Creek 04","Little Bridge Creek","Methow",5,"yes","yes","3","5","3","3","2","2",0.622222222222222,5,1,3,3,3,3,1,5,3,"3",3,1,3,2,5
"Little Bridge Creek 05","Little Bridge Creek","Methow",5,"yes","yes","3","5","3","3","2","2",0.644444444444444,5,1,5,3,4,3,1,5,3,"3",3,1,3,2,5
"Little Bridge Creek 06","Little Bridge Creek","Methow",5,"yes","yes","3","2","3","3","2","2",0.6,5,1,3,3,3,3,1,5,3,"3",1,3,3,3,5
"Little Camas Creek 01","Sand Creek","Wenatchee",1,"no","yes","0","2","Not a Priority","Not a Priority","2","2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Little Giant Creek 01","Upper Chiwawa River","Wenatchee",5,"no","no","0","0","2","1","3","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Little Slate Creek 01","Middle Twisp River","Methow",1,"yes","yes","3","3","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Little Wenatchee River Lower 01","Lower Little Wenatchee River","Wenatchee",5,"yes","yes","6","5","2","1","2","3",NA,NA,NA,3,3,3,NA,5,5,1,"3",1,5,5,5,1
"Little Wenatchee River Lower 02","Lower Little Wenatchee River","Wenatchee",5,"yes","yes","6","5","2","1","2","3",0.555555555555556,5,1,3,3,3,5,3,3,3,"1",1,5,5,5,1
"Little Wenatchee River Lower 03","Lower Little Wenatchee River","Wenatchee",5,"yes","yes","6","5","2","1","2","3",0.733333333333333,5,3,5,5,5,5,3,3,5,"3",1,5,1,3,5
"Little Wenatchee River Lower 04","Lower Little Wenatchee River","Wenatchee",5,"yes","yes","6","5","2","1","2","3",0.6,5,1,5,5,5,5,3,5,3,"1",1,5,1,3,1
"Little Wenatchee River Lower 05","Lower Little Wenatchee River","Wenatchee",5,"yes","yes","6","5","2","1","2","3",0.555555555555556,5,1,5,5,5,5,1,5,3,"1",1,5,1,3,1
"Little Wenatchee River Lower 06","Lower Little Wenatchee River","Wenatchee",5,"yes","yes","4","4","2","1","2","3",0.555555555555556,5,1,5,5,5,5,1,5,3,"1",1,NA,1,1,3
"Little Wenatchee River Middle 01","Middle Little Wenatchee River","Wenatchee",5,"yes","yes","4","4","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,3,5,3,"NA",1,5,NA,5,3
"Little Wenatchee River Upper 01","Upper Little Wenatchee River","Wenatchee",1,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,5,1,5,1,"1",1,NA,NA,NA,1
"Little Wenatchee River Upper 02","Upper Little Wenatchee River","Wenatchee",5,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,5,3,3,NA,"1",NA,NA,NA,NA,3
"Lost Creek 01","Lower Little Wenatchee River","Wenatchee",5,"yes","no","2","0","2","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,1
"Lost River Lower 01","Lower Lost River","Methow",5,"yes","yes","6","5","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"5",1,5,3,4,3
"Lost River Lower 02","Lower Lost River","Methow",5,"yes","yes","6","5","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,NA,NA,5
"Lost River Lower 03","Lower Lost River","Methow",5,"yes","yes","6","5","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,3,NA,"NA",1,NA,NA,NA,5
"Lost River Lower 04","Lower Lost River","Methow",1,"yes","yes","6","5","2","2","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",1,NA,NA,NA,5
"Lost River Lower 05","Lower Lost River","Methow",1,"yes","yes","4","4","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Lost River Lower 06","Lower Lost River","Methow",1,"yes","yes","4","4","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Lost River Lower 07","Upper Lost River","Methow",5,"yes","yes","4","4","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,NA,NA,5
"Lost River Upper 01","Diamond Creek","Methow",5,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Lost River Upper 02","Diamond Creek","Methow",5,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,3,5,5,NA,"NA",1,NA,NA,NA,5
"Loup Loup 16-1","Loup Loup Creek-Lower DS","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.413821612609874,5,1,1,1,1,3,1,1,NA,"NA",3,1,NA,1,1
"Loup Loup 16-2","Loup Loup Creek-Lower DS","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.486404503282982,5,1,5,5,5,3,1,1,NA,"NA",1,1,NA,1,1
"Loup Loup 16-3","Loup Loup Creek-Lower DS","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.40183470139682,5,1,5,5,5,3,1,0,NA,"NA",NA,1,NA,1,1
"Mad River Lower 01","Lower Mad River","Entiat",5,"yes","yes","6","6","2","3","1","2",0.444444444444444,5,1,1,1,1,3,1,5,1,"1",1,3,1,2,5
"Mad River Lower 02","Lower Mad River","Entiat",1,"yes","yes","6","6","2","3","1","2",0.555555555555556,5,1,3,3,3,3,1,5,3,"1",1,5,1,3,5
"Mad River Lower 03","Lower Mad River","Entiat",1,"yes","yes","5","6","2","3","1","2",0.644444444444444,5,1,3,5,4,3,3,5,3,"1",1,5,3,4,5
"Mad River Lower 04","Lower Mad River","Entiat",5,"yes","yes","5","6","2","3","1","2",0.822222222222222,3,3,5,5,5,5,5,5,5,"3",1,5,1,3,5
"Mad River Lower 05","Lower Mad River","Entiat",1,"yes","yes","5","6","2","3","1","2",NA,NA,NA,5,5,5,5,3,5,5,"1",NA,NA,NA,NA,5
"Mad River Lower 06","Lower Mad River","Entiat",1,"yes","yes","5","6","2","3","1","2",NA,NA,NA,5,5,5,5,3,5,5,"1",NA,NA,NA,NA,5
"Mad River Lower 07","Lower Mad River","Entiat",1,"yes","yes","5","6","2","3","1","2",NA,NA,NA,5,5,5,5,5,5,5,"1",NA,5,1,3,5
"Mad River Lower 08","Lower Mad River","Entiat",1,"yes","yes","5","6","2","3","1","2",NA,NA,NA,5,5,5,5,3,5,5,"1",NA,5,1,3,5
"Mad River Lower 09","Lower Mad River","Entiat",5,"yes","yes","4","6","2","3","1","2",NA,NA,NA,5,5,5,5,5,3,5,"5",NA,5,1,3,5
"Mad River Lower 10","Lower Mad River","Entiat",1,"yes","yes","4","5","2","3","1","2",NA,NA,NA,5,5,5,5,3,5,5,"1",NA,5,1,3,5
"Mad River Upper 01","Upper Mad River","Entiat",1,"yes","yes","4","2","3","3","3","3",NA,NA,NA,NA,NA,NA,5,3,5,3,"1",1,5,3,4,5
"Mad River Upper 02","Upper Mad River","Entiat",1,"yes","yes","4","2","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,5,5,3,"NA",1,5,3,4,5
"Mad River Upper 03","Upper Mad River","Entiat",1,"yes","no","2","0","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,5,5,3,"NA",1,5,3,4,5
"Mad River Upper 04","Upper Mad River","Entiat",1,"yes","no","2","0","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,5,5,5,"NA",1,5,1,3,5
"Mad River Upper 05","Upper Mad River","Entiat",5,"yes","no","2","0","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,1,5,5,"NA",1,NA,NA,NA,5
"Maple Creek 01","Upper Chiwawa River","Wenatchee",5,"no","no","0","0","2","1","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Methow River Alder 01","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.555555555555556,5,1,3,NA,3,5,1,5,3,"3",1,1,1,1,3
"Methow River Alder 02","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.466666666666667,5,1,3,NA,3,5,1,1,3,"3",1,1,1,1,3
"Methow River Alder 03","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.466666666666667,5,1,3,NA,3,5,1,1,3,"3",1,1,1,1,3
"Methow River Alder 04","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.288888888888889,5,1,1,NA,1,5,1,1,1,"1",1,1,1,1,1
"Methow River Alder 05","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.288888888888889,5,1,1,NA,1,5,1,1,1,"1",1,1,1,1,1
"Methow River Alder 06","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.4,5,1,1,NA,1,5,1,5,1,"1",1,3,1,2,1
"Methow River Alder 07","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.4,5,1,1,NA,1,5,1,5,1,"1",1,3,1,2,1
"Methow River Alder 08","Methow River-Alder Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.511111111111111,5,1,3,NA,3,5,1,5,3,"3",1,1,1,1,1
"Methow River Alta Coulee 01","Methow River-Alta Coulee","Methow",5,"yes","yes","6","7","2","3","1","2",NA,NA,NA,1,3,2,NA,NA,3,3,"3",NA,1,1,1,3
"Methow River Alta Coulee 02","Methow River-Alta Coulee","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River Alta Coulee 03","Methow River-Alta Coulee","Methow",5,"yes","yes","6","7","2","3","1","2",0.466666666666667,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,1
"Methow River Alta Coulee 04","Methow River-Alta Coulee","Methow",5,"yes","yes","6","7","2","3","1","2",0.466666666666667,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,1
"Methow River Alta Coulee 05","Methow River-Alta Coulee","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River Alta Coulee 06","Methow River-Alta Coulee","Methow",1,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River Fawn 01","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.644444444444444,5,1,3,5,4,5,5,1,3,"3",5,3,1,2,1
"Methow River Fawn 02","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.711111111111111,5,3,3,5,4,5,3,5,3,"3",5,5,1,3,1
"Methow River Fawn 03","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.622222222222222,5,1,5,3,4,5,3,3,1,"3",5,5,1,3,1
"Methow River Fawn 04","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.8,3,3,5,5,5,5,3,3,5,"5",5,5,3,4,1
"Methow River Fawn 05","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.577777777777778,5,1,3,5,4,5,3,1,3,"3",3,5,1,3,1
"Methow River Fawn 06","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.422222222222222,5,1,1,3,2,5,1,1,1,"1",1,3,1,2,5
"Methow River Fawn 07","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.511111111111111,5,1,1,3,2,5,1,3,1,"1",3,3,1,2,5
"Methow River Fawn 08","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.466666666666667,5,1,1,3,2,5,1,1,1,"1",3,3,1,2,5
"Methow River Fawn 09","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.511111111111111,5,1,3,3,3,5,1,1,3,"1",3,1,1,1,5
"Methow River Fawn 10","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.444444444444444,5,1,1,3,2,5,1,1,1,"3",1,1,1,1,5
"Methow River Fawn 11","Methow River-Fawn Creek","Methow",5,"yes","yes","7","6","1","1","1","1",0.444444444444444,5,1,1,3,2,5,1,1,1,"3",1,1,1,1,5
"Methow River McFarland 01","Methow River-McFarland Creek","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River McFarland 02","Methow River-McFarland Creek","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River McFarland 03","Methow River-McFarland Creek","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River McFarland 04","Methow River-McFarland Creek","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River McFarland 05","Methow River-McFarland Creek","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River McFarland 06","Methow River-McFarland Creek","Methow",5,"yes","yes","6","7","2","3","1","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River Rattlesnake 01","Methow River-Rattlesnake Creek","Methow",5,"yes","yes","7","5","1","1","2","2",0.711111111111111,5,3,3,3,3,5,3,1,3,"5",5,3,1,2,5
"Methow River Rattlesnake 02","Methow River-Rattlesnake Creek","Methow",5,"yes","yes","7","5","1","1","2","2",0.533333333333333,5,1,1,3,2,5,1,1,1,"3",5,1,1,1,5
"Methow River Rattlesnake 03","Methow River-Rattlesnake Creek","Methow",5,"yes","yes","7","5","1","1","2","2",0.511111111111111,5,1,1,3,2,5,1,1,1,"3",5,1,3,2,3
"Methow River Rattlesnake 04","Methow River-Rattlesnake Creek","Methow",5,"yes","yes","7","5","1","1","2","2",0.644444444444444,5,1,5,5,5,5,1,1,5,"3",3,3,3,3,3
"Methow River Rattlesnake 05","Methow River-Rattlesnake Creek","Methow",5,"yes","yes","5","5","1","1","2","2",0.822222222222222,3,3,5,5,5,5,1,5,5,"5",3,3,3,3,5
"Methow River Rattlesnake 06","Methow River-Rattlesnake Creek","Methow",5,"yes","yes","5","4","1","1","2","2",1,1,5,5,5,5,5,5,5,5,"5",5,5,5,5,5
"Methow River Texas 01","Methow River-Texas Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.466666666666667,5,1,3,3,3,3,1,3,3,"3",1,1,1,1,3
"Methow River Texas 02","Methow River-Texas Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River Texas 03","Methow River-Texas Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River Texas 04","Methow River-Texas Creek","Methow",5,"yes","yes","6","7","2","3","2","2",0.511111111111111,5,1,3,3,3,3,1,5,3,"3",1,1,1,1,3
"Methow River Thompson 01","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.555555555555556,5,1,3,3,3,5,3,3,3,"3",3,1,1,1,1
"Methow River Thompson 02","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.6,5,1,3,3,3,5,3,3,3,"3",3,1,1,1,3
"Methow River Thompson 03","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.6,5,1,3,3,3,5,3,3,3,"3",3,1,1,1,3
"Methow River Thompson 04","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.6,5,1,3,3,3,5,3,3,3,"3",3,1,1,1,3
"Methow River Thompson 05","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.6,5,1,3,3,3,5,3,3,3,"3",3,1,1,1,3
"Methow River Thompson 06","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.555555555555556,5,1,3,3,3,5,3,1,3,"3",3,1,1,1,3
"Methow River Thompson 07","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.733333333333333,5,3,3,5,4,5,5,1,3,"3",5,3,1,2,5
"Methow River Thompson 08","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.733333333333333,5,3,3,5,4,5,5,1,3,"3",5,3,1,2,5
"Methow River Thompson 09","Methow River-Thompson Creek","Methow",5,"yes","yes","7","7","2","1","2","1",0.688888888888889,5,1,3,5,4,5,5,1,3,"3",5,3,1,2,3
"Methow River West Fork 01","West Fork Methow River","Methow",5,"yes","yes","4","2","3","3","3","3",NA,NA,NA,NA,NA,NA,5,NA,5,NA,"NA",5,NA,NA,NA,5
"Methow River West Fork 02","West Fork Methow River","Methow",5,"yes","yes","4","2","3","3","3","3",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Methow River West Fork 03","West Fork Methow River","Methow",5,"yes","yes","4","2","3","3","3","3",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Methow River West Fork 04","West Fork Methow River","Methow",5,"no","no","0","0","3","3","3","3",NA,NA,NA,NA,NA,NA,3,5,5,NA,"NA",1,NA,NA,NA,5
"Middle Shaser Creek 01","Upper Peshastin Creek","Wenatchee",1,"yes","yes","4","2","2","3","2","2",NA,NA,NA,NA,NA,NA,5,3,1,3,"NA",1,NA,NA,NA,1
"Mill Creek Nason 01","Upper Nason Creek","Wenatchee",5,"yes","yes","2","3","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,1
"Mill Creek Peshastin 01","Lower Peshastin Creek","Wenatchee",5,"yes","yes","5","4","2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Mill Creek Peshastin 02","Lower Peshastin Creek","Wenatchee",1,"no","yes","0","2","2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Minnow Creek 01","Chikamin Creek","Wenatchee",5,"yes","yes","2","2","2","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,5,1,3,5
"Minnow Creek 02","Chikamin Creek","Wenatchee",5,"yes","yes","1","2","2","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,3,1,2,5
"Mission Creek 01","Mission Creek-Brender Creek","Wenatchee",5,"yes","yes","3","6","2","3","1","2",NA,NA,NA,1,1,1,NA,NA,1,1,"1",NA,1,1,1,1
"Mission Creek 02","Mission Creek-Brender Creek","Wenatchee",5,"yes","yes","3","6","2","3","1","2",NA,NA,NA,1,1,1,NA,NA,1,1,"1",NA,1,1,1,1
"Mission Creek 03","Mission Creek-Brender Creek","Wenatchee",5,"yes","yes","3","6","2","3","1","2",NA,NA,NA,1,1,1,NA,NA,1,1,"1",NA,1,1,1,3
"Mission Creek 04","Mission Creek-Brender Creek","Wenatchee",5,"yes","yes","3","6","2","3","1","2",NA,NA,NA,1,1,1,NA,NA,1,1,"1",NA,1,1,1,1
"Mission Creek 05","Mission Creek-Brender Creek","Wenatchee",5,"yes","yes","3","6","2","3","1","2",NA,NA,NA,1,1,1,NA,NA,1,1,"1",NA,1,1,1,1
"Mission Creek 06","Mission Creek-Brender Creek","Wenatchee",5,"yes","yes","3","6","2","3","1","2",NA,NA,NA,1,1,1,NA,NA,1,1,"1",NA,1,1,1,5
"Mission Creek 07","Mission Creek-Brender Creek","Wenatchee",5,"yes","yes","4","5","2","3","1","2",NA,NA,NA,3,3,3,NA,NA,1,3,"3",NA,3,3,3,1
"Mission Creek 08","East Fork Mission Creek","Wenatchee",5,"yes","yes","4","6","Not a Priority","Not a Priority","2","2",NA,NA,NA,3,3,3,NA,NA,1,3,"3",NA,3,3,3,1
"Mission Creek 09","East Fork Mission Creek","Wenatchee",1,"yes","yes","4","4","Not a Priority","Not a Priority","2","2",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,1,1,1
"Mission Creek East Fork 01","East Fork Mission Creek","Wenatchee",1,"yes","yes","4","4","Not a Priority","Not a Priority","2","2",NA,NA,NA,NA,NA,NA,3,3,1,NA,"1",NA,NA,1,1,1
"Monument Creek 01","Lower Lost River","Methow",1,"yes","no","2","0","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Mud Creek 01","Mud Creek","Entiat",5,"yes","yes","5","2","2","3","2","3",NA,NA,NA,NA,NA,NA,NA,1,1,3,"NA",1,NA,NA,NA,NA
"Mud Creek 02","Mud Creek","Entiat",1,"yes","no","2","0","2","3","2","3",NA,NA,NA,NA,NA,NA,NA,1,1,5,"NA",1,NA,NA,NA,5
"Napeequa River 01","Napeequa River","Wenatchee",5,"yes","yes","6","5","3","2","3","3",0.555555555555556,5,1,3,3,3,5,3,1,1,"3",1,5,1,3,5
"Napeequa River 02","Napeequa River","Wenatchee",5,"yes","yes","4","4","3","2","3","3",NA,NA,NA,5,5,5,NA,NA,1,5,"5",NA,NA,NA,NA,5
"Nason Creek Lower 01","Lower Nason Creek","Wenatchee",5,"yes","yes","7","6","1","1","1","1",0.822222222222222,3,3,3,5,4,5,5,5,3,"5",5,5,3,4,1
